,step,total_agents,agents_shopping,agents_dwelling,agents_exiting,agents_completed
226,227,145,105,7,33,55
227,228,144,102,10,32,56
228,229,144,100,11,33,56
229,230,144,98,13,33,56
230,231,143,99,12,32,57
231,232,142,98,13,31,58
232,233,141,101,10,30,59
233,234,140,97,11,32,60
234,235,139,99,9,31,61
235,236,138,96,10,32,62
236,237,138,98,7,33,62
237,238,138,95,8,35,62
238,239,137,93,10,34,63
239,240,137,93,10,34,63
240,241,135,92,10,33,65
241,242,134,88,14,32,66
242,243,134,89,13,32,66
243,244,133,92,10,31,67
244,245,133,91,10,32,67
245,246,132,93,8,31,68
246,247,132,94,6,32,68
247,248,131,93,6,32,69
248,249,130,90,8,32,70
249,250,130,90,8,32,70
250,251,129,87,11,31,71
251,252,128,85,13,30,72
252,253,127,86,12,29,73
253,254,127,88,10,29,73
254,255,127,88,10,29,73
255,256,126,90,7,29,74
256,257,126,92,4,30,74
257,258,125,90,5,30,75
258,259,125,88,7,30,75
259,260,124,85,9,30,76
260,261,123,84,9,30,77
261,262,122,83,10,29,78
262,263,121,81,11,29,79
263,264,121,79,12,30,79
264,265,121,80,11,30,79
265,266,120,80,11,29,80
266,267,120,79,11,30,80
267,268,120,80,10,30,80
268,269,120,82,6,32,80
269,270,119,81,5,33,81
270,271,118,81,5,32,82
271,272,118,82,4,32,82
272,273,118,81,5,32,82
273,274,118,77,8,33,82
274,275,118,77,8,33,82
275,276,118,77,7,34,82
276,277,117,77,7,33,83
277,278,117,77,6,34,83
278,279,116,78,4,34,84
279,280,115,78,4,33,85
280,281,115,74,7,34,85
281,282,113,74,7,32,87
282,283,113,73,7,33,87
283,284,112,73,7,32,88
284,285,112,74,6,32,88
285,286,111,73,7,31,89
286,287,111,71,8,32,89
287,288,110,70,8,32,90
288,289,109,69,8,32,91
289,290,108,68,9,31,92
290,291,107,72,5,30,93
291,292,107,71,5,31,93
292,293,106,70,6,30,94
293,294,106,67,8,31,94
294,295,106,64,11,31,94
295,296,106,60,15,31,94
296,297,106,62,13,31,94
297,298,106,62,13,31,94
298,299,105,61,12,32,95
299,300,105,60,11,34,95
300,301,105,61,7,37,95
301,302,104,56,12,36,96
302,303,104,57,11,36,96
303,304,103,54,12,37,97
304,305,102,55,10,37,98
305,306,102,52,11,39,98
306,307,101,57,6,38,99
307,308,100,56,5,39,100
308,309,99,58,3,38,101
309,310,99,55,4,40,101
310,311,97,53,6,38,103
311,312,96,51,7,38,104
312,313,95,48,10,37,105
313,314,95,47,11,37,105
314,315,94,49,9,36,106
315,316,93,52,6,35,107
316,317,93,51,6,36,107
317,318,92,53,3,36,108
318,319,92,53,3,36,108
319,320,90,48,8,34,110
320,321,90,48,8,34,110
321,322,89,48,8,33,111
322,323,87,46,9,32,113
323,324,87,47,8,32,113
324,325,85,50,4,31,115
325,326,85,47,4,34,115
326,327,85,48,3,34,115
327,328,85,46,5,34,115
328,329,85,46,5,34,115
329,330,84,44,7,33,116
330,331,84,43,8,33,116
331,332,83,40,11,32,117
332,333,83,42,9,32,117
333,334,82,42,9,31,118
334,335,82,42,8,32,118
335,336,81,39,10,32,119
336,337,80,41,8,31,120
337,338,79,42,7,30,121
338,339,79,43,6,30,121
339,340,79,43,5,31,121
340,341,78,43,5,30,122
341,342,77,44,4,29,123
342,343,75,42,6,27,125
343,344,74,42,6,26,126
344,345,73,40,8,25,127
345,346,72,43,5,24,128
346,347,71,41,5,25,129
347,348,71,42,4,25,129
348,349,70,39,6,25,130
349,350,69,41,4,24,131
350,351,69,40,5,24,131
351,352,68,38,7,23,132
352,353,68,38,7,23,132
353,354,68,39,5,24,132
354,355,68,37,6,25,132
355,356,68,37,5,26,132
356,357,67,37,4,26,133
357,358,66,37,4,25,134
358,359,65,34,6,25,135
359,360,65,35,5,25,135
360,361,64,31,8,25,136
361,362,64,31,8,25,136
362,363,63,31,7,25,137
363,364,62,32,5,25,138
364,365,61,32,4,25,139
365,366,60,33,2,25,140
366,367,58,33,1,24,142
367,368,58,31,2,25,142
368,369,57,31,2,24,143
369,370,56,28,5,23,144
370,371,55,28,5,22,145
371,372,55,26,7,22,145
372,373,55,26,7,22,145
373,374,54,25,8,21,146
374,375,53,27,6,20,147
375,376,52,26,6,20,148
376,377,52,28,4,20,148
377,378,52,25,6,21,148
378,379,51,25,6,20,149
379,380,50,23,7,20,150
380,381,49,23,7,19,151
381,382,49,22,7,20,151
382,383,48,25,4,19,152
383,384,47,23,4,20,153
384,385,47,25,2,20,153
385,386,47,24,2,21,153
386,387,47,24,2,21,153
387,388,47,22,4,21,153
388,389,47,21,5,21,153
389,390,46,21,5,20,154
390,391,46,21,5,20,154
391,392,45,19,6,20,155
392,393,44,20,5,19,156
393,394,43,22,3,18,157
394,395,43,20,4,19,157
395,396,42,21,3,18,158
396,397,42,21,3,18,158
397,398,41,20,3,18,159
398,399,41,18,4,19,159
399,400,40,16,6,18,160
400,401,40,14,7,19,160
401,402,39,14,7,18,161
402,403,37,15,6,16,163
403,404,37,15,5,17,163
404,405,37,17,3,17,163
405,406,37,15,2,20,163
406,407,36,15,2,19,164
407,408,36,13,3,20,164
408,409,36,12,4,20,164
409,410,35,13,3,19,165
410,411,35,12,3,20,165
411,412,35,13,2,20,165
412,413,34,12,2,20,166
413,414,34,13,1,20,166
414,415,33,11,2,20,167
415,416,32,10,3,19,168
416,417,31,9,4,18,169
417,418,31,8,5,18,169
418,419,31,7,5,19,169
419,420,31,8,4,19,169
420,421,31,8,3,20,169
421,422,30,8,2,20,170
422,423,30,8,1,21,170
423,424,29,8,1,20,171
424,425,29,7,2,20,171
425,426,28,7,2,19,172
426,427,28,7,2,19,172
427,428,28,8,1,19,172
428,429,28,8,1,19,172
429,430,28,8,1,19,172
430,431,28,7,1,20,172
431,432,27,7,1,19,173
432,433,27,6,2,19,173
433,434,25,6,2,17,175
434,435,25,7,1,17,175
435,436,25,5,2,18,175
436,437,24,4,3,17,176
437,438,23,5,2,16,177
438,439,22,4,3,15,178
439,440,22,4,3,15,178
440,441,22,4,3,15,178
441,442,22,4,2,16,178
442,443,21,3,2,16,179
443,444,21,4,1,16,179
444,445,20,4,1,15,180
445,446,20,5,0,15,180
446,447,19,3,1,15,181
447,448,19,3,1,15,181
448,449,19,3,1,15,181
449,450,18,3,1,14,182
450,451,16,3,1,12,184
451,452,15,4,0,11,185
452,453,14,1,2,11,186
453,454,14,1,2,11,186
454,455,13,1,2,10,187
455,456,12,1,2,9,188
456,457,12,1,2,9,188
457,458,12,3,0,9,188
458,459,12,1,0,11,188
459,460,11,1,0,10,189
460,461,11,1,0,10,189
461,462,11,1,0,10,189
462,463,10,1,0,9,190
463,464,9,1,0,8,191
464,465,9,1,0,8,191
465,466,9,1,0,8,191
466,467,9,1,0,8,191
467,468,9,1,0,8,191
468,469,8,1,0,7,192
469,470,8,1,0,7,192
470,471,8,0,1,7,192
471,472,8,0,1,7,192
472,473,7,0,1,6,193
473,474,7,0,1,6,193
474,475,7,0,1,6,193
475,476,7,1,0,6,193
476,477,7,0,0,7,193
477,478,6,0,0,6,194
478,479,6,0,0,6,194
479,480,5,0,0,5,195
480,481,5,0,0,5,195
481,482,5,0,0,5,195
482,483,5,0,0,5,195
483,484,5,0,0,5,195
484,485,5,0,0,5,195
485,486,5,0,0,5,195
486,487,5,0,0,5,195
487,488,5,0,0,5,195
488,489,5,0,0,5,195
489,490,5,0,0,5,195
490,491,4,0,0,4,196
491,492,4,0,0,4,196
492,493,3,0,0,3,197
493,494,3,0,0,3,197
494,495,3,0,0,3,197
495,496,2,0,0,2,198
496,497,2,0,0,2,198
497,498,2,0,0,2,198
498,499,2,0,0,2,198
499,500,2,0,0,2,198
500,501,2,0,0,2,198
501,502,2,0,0,2,198
502,503,2,0,0,2,198
503,504,2,0,0,2,198
504,505,2,0,0,2,198
505,506,2,0,0,2,198
506,507,2,0,0,2,198
507,508,2,0,0,2,198
508,509,2,0,0,2,198
509,510,2,0,0,2,198
510,511,2,0,0,2,198
511,512,2,0,0,2,198
512,513,2,0,0,2,198
513,514,2,0,0,2,198
514,515,2,0,0,2,198
515,516,2,0,0,2,198
516,517,2,0,0,2,198
517,518,2,0,0,2,198
518,519,2,0,0,2,198
519,520,1,0,0,1,199
520,521,1,0,0,1,199
521,522,1,0,0,1,199
522,523,0,0,0,0,200
